epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15727002918720245,0.0010000000474974513,2.4895708560943604,0.1325334757566452,2.417794942855835
1,0.125,0.0010000000474974513,3.208796262741089,0.1323939710855484,2.412097454071045
2,0.16756850481033325,0.0010000000474974513,2.3528435230255127,0.1767578125,2.331014633178711
3,0.125,0.0010000000474974513,2.310689926147461,0.1696428507566452,2.3112599849700928
4,0.18610577285289764,0.0010000000474974513,2.233278512954712,0.1605747789144516,2.688382625579834
5,0.171875,0.0010000000474974513,2.0714190006256104,0.1579241007566452,2.747545003890991
6,0.19245941936969757,0.0010000000474974513,2.132190704345703,0.1551339328289032,2.4965858459472656
7,0.1875,0.0010000000474974513,1.8040825128555298,0.1630859375,2.4288713932037354
8,0.22670623660087585,0.0010000000474974513,2.0277371406555176,0.283203125,2.024925708770752
9,0.171875,0.0010000000474974513,2.0230743885040283,0.2903180718421936,1.9971312284469604
